alpha,0.116
annualized_returns,0.184
benchmark,000001.XSHG
benchmark_annualized_returns,0.088
benchmark_total_returns,1.626
beta,0.47
cash,759.173
downside_risk,0.139
end_date,2017-05-31
future_starting_cash,0
information_ratio,0.329
max_drawdown,0.301
run_type,BACKTEST
sharpe,0.816
sortino,1.141
start_date,2006-01-04
stock_starting_cash,100000
strategy_file,D:\OpenSourceTradePlatform\atspy\Template\ma20\strategy\ma20_30.py
strategy_name,ma20_30
total_returns,5.889
total_value,688856.533
tracking_error,0.205
unit_net_value,6.889
units,100000
volatility,0.194
