date,cash,dividend_receivable,market_value,total_value,transaction_cost
2006-01-04,128.587,0,99791.58,99920.167,79.833
2006-01-05,128.587,0,101667.78,101796.367,0.0
2006-01-06,128.587,0,102823.18,102951.767,0.0
2006-01-09,128.587,0,103376.5,103505.087,0.0
2006-01-10,128.587,0,103683.9,103812.487,0.0
2006-01-11,128.587,0,103188.88,103317.467,0.0
2006-01-12,128.587,0,104274.32,104402.907,0.0
2006-01-13,128.587,0,103753.86,103882.447,0.0
2006-01-16,101959.697,0,0.0,101959.697,81.53
2006-01-17,101959.697,0,0.0,101959.697,0.0
2006-01-18,565.786,0,101312.86,101878.646,81.05
2006-01-19,565.786,0,102095.66,102661.446,0.0
2006-01-20,565.786,0,102314.02,102879.806,0.0
2006-01-23,565.786,0,102604.48,103170.266,0.0
2006-01-24,565.786,0,102906.27,103472.056,0.0
2006-01-25,565.786,0,103988.8,104554.586,0.0
2006-02-06,565.786,0,106422.69,106988.476,0.0
2006-02-07,565.786,0,106083.82,106649.606,0.0
2006-02-08,565.786,0,106406.21,106971.996,0.0
2006-02-09,105500.571,0,0.0,105500.571,84.015
2006-02-10,117.652,0,105298.68,105416.332,84.239
2006-02-13,117.652,0,105224.22,105341.872,0.0
2006-02-14,117.652,0,105930.06,106047.712,0.0
2006-02-15,117.652,0,106249.32,106366.972,0.0
2006-02-16,104086.651,0,0.0,104086.651,83.242
2006-02-17,104086.651,0,0.0,104086.651,0.0
2006-02-20,104086.651,0,0.0,104086.651,0.0
2006-02-21,121.545,0,103882.0,104003.545,83.106
2006-02-22,121.545,0,103788.0,103909.545,0.0
2006-02-23,121.545,0,104137.0,104258.545,0.0
2006-02-24,121.545,0,104944.0,105065.545,0.0
2006-02-27,121.545,0,104784.0,104905.545,0.0
2006-02-28,121.545,0,105301.0,105422.545,0.0
2006-03-01,121.545,0,105662.0,105783.545,0.0
2006-03-02,103905.451,0,0.0,103905.451,83.094
2006-03-03,103905.451,0,0.0,103905.451,0.0
2006-03-06,103905.451,0,0.0,103905.451,0.0
2006-03-07,103905.451,0,0.0,103905.451,0.0
2006-03-08,103905.451,0,0.0,103905.451,0.0
2006-03-09,103905.451,0,0.0,103905.451,0.0
2006-03-10,103905.451,0,0.0,103905.451,0.0
2006-03-13,817.187,0,103005.86,103823.047,82.405
2006-03-14,817.187,0,102845.27,103662.457,0.0
2006-03-15,817.187,0,103924.96,104742.147,0.0
2006-03-16,817.187,0,103789.62,104606.807,0.0
2006-03-17,817.187,0,103426.02,104243.207,0.0
2006-03-20,817.187,0,104803.66,105620.847,0.0
2006-03-21,817.187,0,105116.76,105933.947,0.0
2006-03-22,817.187,0,105814.67,106631.857,0.0
2006-03-23,817.187,0,105902.54,106719.727,0.0
2006-03-24,106035.545,0,0.0,106035.545,84.242
2006-03-27,326.255,0,105624.79,105951.045,84.5
2006-03-28,326.255,0,106653.98,106980.235,0.0
2006-03-29,326.255,0,107594.29,107920.545,0.0
2006-03-30,326.255,0,106618.63,106944.885,0.0
2006-03-31,326.255,0,107170.09,107496.345,0.0
2006-04-03,326.255,0,109011.32,109337.575,0.0
2006-04-04,326.255,0,110026.37,110352.625,0.0
2006-04-05,326.255,0,111096.97,111423.225,0.0
2006-04-06,326.255,0,111427.24,111753.495,0.0
2006-04-07,326.255,0,111418.15,111744.405,0.0
2006-04-10,326.255,0,112908.91,113235.165,0.0
2006-04-11,326.255,0,113454.31,113780.565,0.0
2006-04-12,326.255,0,112824.07,113150.325,0.0
2006-04-13,110723.786,0,0.0,110723.786,88.389
2006-04-14,1012.307,0,109623.78,110636.087,87.699
2006-04-17,1012.307,0,110192.18,111204.487,0.0
2006-04-18,1012.307,0,110865.44,111877.747,0.0
2006-04-19,1012.307,0,111547.52,112559.827,0.0
2006-04-20,1012.307,0,111169.24,112181.547,0.0
2006-04-21,1012.307,0,112617.68,113629.987,0.0
2006-04-24,1012.307,0,111984.6,112996.907,0.0
2006-04-25,1012.307,0,111909.14,112921.447,0.0
2006-04-26,1012.307,0,113261.54,114273.847,0.0
2006-04-27,1012.307,0,113216.46,114228.767,0.0
2006-04-28,1012.307,0,114890.3,115902.607,0.0
2006-05-08,1012.307,0,119407.12,120419.427,0.0
2006-05-09,1012.307,0,122657.78,123670.087,0.0
2006-05-10,1012.307,0,124061.14,125073.447,0.0
2006-05-11,1012.307,0,122993.92,124006.227,0.0
2006-05-12,1012.307,0,127033.48,128045.787,0.0
2006-05-15,1012.307,0,132511.68,133523.987,0.0
2006-05-16,1012.307,0,130450.74,131463.047,0.0
2006-05-17,1012.307,0,130880.96,131893.267,0.0
2006-05-18,1012.307,0,130457.6,131469.907,0.0
2006-05-19,1012.307,0,133877.8,134890.107,0.0
2006-05-22,1012.307,0,134619.66,135631.967,0.0
2006-05-23,130038.703,0,0.0,130038.703,103.304
2006-05-24,130038.703,0,0.0,130038.703,0.0
2006-05-25,130038.703,0,0.0,130038.703,0.0
2006-05-26,826.476,0,129108.94,129935.416,103.287
2006-05-29,826.476,0,132530.13,133356.606,0.0
2006-05-30,826.476,0,133739.72,134566.196,0.0
2006-05-31,826.476,0,132448.65,133275.126,0.0
2006-06-01,826.476,0,136079.36,136905.836,0.0
2006-06-02,826.476,0,134841.64,135668.116,0.0
2006-06-05,826.476,0,136106.52,136932.996,0.0
2006-06-06,826.476,0,135716.58,136543.056,0.0
2006-06-07,128786.336,0,0.0,128786.336,102.45
2006-06-08,128786.336,0,0.0,128786.336,0.0
2006-06-09,128786.336,0,0.0,128786.336,0.0
2006-06-12,128786.336,0,0.0,128786.336,0.0
2006-06-13,128786.336,0,0.0,128786.336,0.0
2006-06-14,128786.336,0,0.0,128786.336,0.0
2006-06-15,128786.336,0,0.0,128786.336,0.0
2006-06-16,837.089,0,127846.97,128684.059,102.278
2006-06-19,837.089,0,129484.33,130321.419,0.0
2006-06-20,837.089,0,129807.34,130644.429,0.0
2006-06-21,837.089,0,129352.41,130189.499,0.0
2006-06-22,837.089,0,129160.35,129997.439,0.0
2006-06-23,837.089,0,129926.65,130763.739,0.0
2006-06-26,837.089,0,132250.77,133087.859,0.0
2006-06-27,837.089,0,132298.3,133135.389,0.0
2006-06-28,837.089,0,132199.36,133036.449,0.0
2006-06-29,837.089,0,135326.64,136163.729,0.0
2006-06-30,837.089,0,135214.12,136051.209,0.0
2006-07-03,837.089,0,137772.01,138609.099,0.0
2006-07-04,837.089,0,136867.97,137705.059,0.0
2006-07-05,135850.961,0,0.0,135850.961,108.098
2006-07-06,968.541,0,134774.6,135743.141,107.82
2006-07-07,134852.199,0,0.0,134852.199,107.193
2006-07-10,593.478,0,134151.4,134744.878,107.321
