date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2006-08-29,1330.16,1330.16,99762.0,000300.XSHG,75,沪深300
2006-08-30,1330.16,1334.67,100100.25,000300.XSHG,75,沪深300
2006-08-31,1330.16,1338.69,100401.75,000300.XSHG,75,沪深300
2006-09-01,1330.16,1318.1,0.0,000300.XSHG,0,沪深300
2006-09-04,1337.24,1337.24,97618.52,000300.XSHG,73,沪深300
2006-09-05,1337.24,1340.68,97869.64,000300.XSHG,73,沪深300
2006-09-06,1337.24,1346.37,98285.01,000300.XSHG,73,沪深300
2006-09-07,1337.24,1328.38,0.0,000300.XSHG,0,沪深300
2006-09-08,1332.15,1332.15,97246.95,000300.XSHG,73,沪深300
2006-09-11,1332.15,1338.76,97729.48,000300.XSHG,73,沪深300
2006-09-12,1332.15,1347.64,98377.72,000300.XSHG,73,沪深300
2006-09-13,1332.15,1338.39,97702.47,000300.XSHG,73,沪深300
2006-09-14,1332.15,1338.28,97694.44,000300.XSHG,73,沪深300
2006-09-15,1332.15,1362.32,99449.36,000300.XSHG,73,沪深300
2006-09-18,1332.15,1375.56,100415.88,000300.XSHG,73,沪深300
2006-09-19,1332.15,1378.31,100616.63,000300.XSHG,73,沪深300
2006-09-20,1332.15,1378.46,100627.58,000300.XSHG,73,沪深300
2006-09-21,1332.15,1387.37,101278.01,000300.XSHG,73,沪深300
2006-09-22,1332.15,1374.85,100364.05,000300.XSHG,73,沪深300
2006-09-25,1332.15,1372.4,100185.2,000300.XSHG,73,沪深300
2006-09-26,1332.15,1357.65,99108.45,000300.XSHG,73,沪深300
2006-09-27,1332.15,1371.12,100091.76,000300.XSHG,73,沪深300
2006-09-28,1332.15,1387.0,101251.0,000300.XSHG,73,沪深300
2006-09-29,1332.15,1403.26,102437.98,000300.XSHG,73,沪深300
2006-10-09,1332.15,1436.07,104833.11,000300.XSHG,73,沪深300
2006-10-10,1332.15,1437.24,104918.52,000300.XSHG,73,沪深300
2006-10-11,1332.15,1435.91,104821.43,000300.XSHG,73,沪深300
2006-10-12,1332.15,1426.5,104134.5,000300.XSHG,73,沪深300
2006-10-13,1332.15,1430.88,104454.24,000300.XSHG,73,沪深300
2006-10-16,1332.15,1418.52,103551.96,000300.XSHG,73,沪深300
2006-10-17,1332.15,1414.45,103254.85,000300.XSHG,73,沪深300
2006-10-18,1332.15,1437.59,104944.07,000300.XSHG,73,沪深300
2006-10-19,1332.15,1439.38,105074.74,000300.XSHG,73,沪深300
2006-10-20,1332.15,1440.18,105133.14,000300.XSHG,73,沪深300
2006-10-23,1332.15,1408.72,102836.56,000300.XSHG,73,沪深300
2006-10-24,1332.15,1440.05,105123.65,000300.XSHG,73,沪深300
2006-10-25,1332.15,1446.82,105617.86,000300.XSHG,73,沪深300
2006-10-26,1332.15,1456.1,106295.3,000300.XSHG,73,沪深300
2006-10-27,1332.15,1439.05,105050.65,000300.XSHG,73,沪深300
2006-10-30,1332.15,1446.24,105575.52,000300.XSHG,73,沪深300
2006-10-31,1332.15,1464.47,106906.31,000300.XSHG,73,沪深300
2006-11-01,1332.15,1479.41,107996.93,000300.XSHG,73,沪深300
2006-11-02,1332.15,1479.66,108015.18,000300.XSHG,73,沪深300
2006-11-03,1332.15,1488.29,108645.17,000300.XSHG,73,沪深300
2006-11-06,1332.15,1507.89,110075.97,000300.XSHG,73,沪深300
2006-11-07,1332.15,1516.1,110675.3,000300.XSHG,73,沪深300
2006-11-08,1332.15,1498.17,109366.41,000300.XSHG,73,沪深300
2006-11-09,1332.15,1524.71,111303.83,000300.XSHG,73,沪深300
2006-11-10,1332.15,1504.06,109796.38,000300.XSHG,73,沪深300
2006-11-13,1332.15,1475.78,107731.94,000300.XSHG,73,沪深300
2006-11-14,1332.15,1493.78,109045.94,000300.XSHG,73,沪深300
2006-11-15,1332.15,1534.76,112037.48,000300.XSHG,73,沪深300
2006-11-16,1332.15,1533.29,111930.17,000300.XSHG,73,沪深300
2006-11-17,1332.15,1562.08,114031.84,000300.XSHG,73,沪深300
2006-11-20,1332.15,1593.16,116300.68,000300.XSHG,73,沪深300
2006-11-21,1332.15,1612.25,117694.25,000300.XSHG,73,沪深300
2006-11-22,1332.15,1624.03,118554.19,000300.XSHG,73,沪深300
2006-11-23,1332.15,1634.91,119348.43,000300.XSHG,73,沪深300
2006-11-24,1332.15,1636.58,119470.34,000300.XSHG,73,沪深300
2006-11-27,1332.15,1651.8,120581.4,000300.XSHG,73,沪深300
2006-11-28,1332.15,1644.01,120012.73,000300.XSHG,73,沪深300
2006-11-29,1332.15,1667.14,121701.22,000300.XSHG,73,沪深300
2006-11-30,1332.15,1714.36,125148.28,000300.XSHG,73,沪深300
2006-12-01,1332.15,1729.22,126233.06,000300.XSHG,73,沪深300
2006-12-04,1332.15,1780.74,129994.02,000300.XSHG,73,沪深300
2006-12-05,1332.15,1794.23,130978.79,000300.XSHG,73,沪深300
2006-12-06,1332.15,1779.41,129896.93,000300.XSHG,73,沪深300
2006-12-07,1332.15,1775.71,129626.83,000300.XSHG,73,沪深300
2006-12-08,1332.15,1711.58,124945.34,000300.XSHG,73,沪深300
2006-12-11,1332.15,1789.92,130664.16,000300.XSHG,73,沪深300
2006-12-12,1332.15,1802.79,131603.67,000300.XSHG,73,沪深300
2006-12-13,1332.15,1803.86,131681.78,000300.XSHG,73,沪深300
2006-12-14,1332.15,1836.14,134038.22,000300.XSHG,73,沪深300
2006-12-15,1332.15,1867.64,136337.72,000300.XSHG,73,沪深300
2006-12-18,1332.15,1916.11,139876.03,000300.XSHG,73,沪深300
2006-12-19,1332.15,1921.44,140265.12,000300.XSHG,73,沪深300
2006-12-20,1332.15,1936.55,141368.15,000300.XSHG,73,沪深300
2006-12-21,1332.15,1908.98,139355.54,000300.XSHG,73,沪深300
2006-12-22,1332.15,1895.64,138381.72,000300.XSHG,73,沪深300
2006-12-25,1332.15,1939.1,141554.3,000300.XSHG,73,沪深300
