date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2006-01-04,100000.0,0.0,1.0,100000.0,1.0,100000
2006-01-05,170.68,99749.52,1.0,99920.2,0.999202,100000
2006-01-06,170.68,100883.12,0.999,101053.8,1.010538,100000
2006-01-09,170.68,101426.0,1.011,101596.68,1.015967,100000
2006-01-10,170.68,101727.6,1.016,101898.28,1.018983,100000
2006-01-11,170.68,101241.92,1.019,101412.6,1.014126,100000
2006-01-12,170.68,102306.88,1.014,102477.56,1.024776,100000
2006-01-13,170.68,101796.24,1.025,101966.92,1.019669,100000
2006-01-16,170.68,99989.76,1.02,100160.44,1.001604,100000
2006-01-17,170.68,100286.16,1.002,100456.84,1.004568,100000
2006-01-18,170.68,102296.48,1.005,102467.16,1.024672,100000
2006-01-19,170.68,103086.88,1.025,103257.56,1.032576,100000
2006-01-20,170.68,103307.36,1.033,103478.04,1.03478,100000
2006-01-23,170.68,103600.64,1.035,103771.32,1.037713,100000
2006-01-24,170.68,103905.36,1.038,104076.04,1.04076,100000
2006-01-25,170.68,104998.4,1.041,105169.08,1.051691,100000
2006-02-06,170.68,107455.92,1.052,107626.6,1.076266,100000
2006-02-07,170.68,107113.76,1.076,107284.44,1.072844,100000
2006-02-08,170.68,107439.28,1.073,107609.96,1.0761,100000
2006-02-09,170.68,106038.4,1.076,106209.08,1.062091,100000
2006-02-10,170.68,107363.36,1.062,107534.04,1.07534,100000
2006-02-13,170.68,107287.44,1.075,107458.12,1.074581,100000
2006-02-14,170.68,108007.12,1.075,108177.8,1.081778,100000
2006-02-15,170.68,108332.64,1.082,108503.32,1.085033,100000
2006-02-16,170.68,106092.48,1.085,106263.16,1.062632,100000
2006-02-17,170.68,106118.48,1.063,106289.16,1.062892,100000
2006-02-20,170.68,106250.56,1.063,106421.24,1.064212,100000
2006-02-21,170.68,108037.28,1.064,108207.96,1.08208,100000
2006-02-22,170.68,107939.52,1.082,108110.2,1.081102,100000
2006-02-23,170.68,108302.48,1.081,108473.16,1.084732,100000
2006-02-24,170.68,109141.76,1.085,109312.44,1.093124,100000
2006-02-27,170.68,108975.36,1.093,109146.04,1.09146,100000
2006-02-28,109596.11,0.0,1.091,109596.11,1.095961,100000
2006-03-01,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-02,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-03,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-06,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-07,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-08,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-09,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-10,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-13,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-14,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-15,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-16,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-17,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-20,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-21,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-22,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-23,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-24,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-27,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-28,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-29,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-30,109596.11,0.0,1.096,109596.11,1.095961,100000
2006-03-31,216.406,109292.27,1.096,109508.676,1.095087,100000
2006-04-03,216.406,111169.96,1.095,111386.366,1.113864,100000
2006-04-04,216.406,112205.11,1.114,112421.516,1.124215,100000
2006-04-05,216.406,113296.91,1.124,113513.316,1.135133,100000
2006-04-06,216.406,113633.72,1.135,113850.126,1.138501,100000
2006-04-07,216.406,113624.45,1.139,113840.856,1.138409,100000
2006-04-10,216.406,115144.73,1.138,115361.136,1.153611,100000
2006-04-11,216.406,115700.93,1.154,115917.336,1.159173,100000
2006-04-12,216.406,115058.21,1.159,115274.616,1.152746,100000
2006-04-13,216.406,112673.76,1.153,112890.166,1.128902,100000
2006-04-14,216.406,115216.83,1.129,115433.236,1.154332,100000
2006-04-17,216.406,115814.23,1.154,116030.636,1.160306,100000
2006-04-18,216.406,116521.84,1.16,116738.246,1.167382,100000
2006-04-19,216.406,117238.72,1.167,117455.126,1.174551,100000
2006-04-20,216.406,116841.14,1.175,117057.546,1.170575,100000
2006-04-21,216.406,118363.48,1.171,118579.886,1.185799,100000
2006-04-24,216.406,117698.1,1.186,117914.506,1.179145,100000
2006-04-25,216.406,117618.79,1.179,117835.196,1.178352,100000
2006-04-26,216.406,119040.19,1.178,119256.596,1.192566,100000
2006-04-27,216.406,118992.81,1.193,119209.216,1.192092,100000
2006-04-28,216.406,120752.05,1.192,120968.456,1.209685,100000
2006-05-08,216.406,125499.32,1.21,125715.726,1.257157,100000
2006-05-09,216.406,128915.83,1.257,129132.236,1.291322,100000
2006-05-10,216.406,130390.79,1.291,130607.196,1.306072,100000
2006-05-11,216.406,129269.12,1.306,129485.526,1.294855,100000
2006-05-12,216.406,133514.78,1.295,133731.186,1.337312,100000
2006-05-15,216.406,139272.48,1.337,139488.886,1.394889,100000
2006-05-16,216.406,137106.39,1.395,137322.796,1.373228,100000
2006-05-17,216.406,137558.56,1.373,137774.966,1.37775,100000
2006-05-18,216.406,137113.6,1.378,137330.006,1.3733,100000
2006-05-19,216.406,140708.3,1.373,140924.706,1.409247,100000
2006-05-22,216.406,141488.01,1.409,141704.416,1.417044,100000
2006-05-23,216.406,135717.95,1.417,135934.356,1.359344,100000
2006-05-24,216.406,134748.72,1.359,134965.126,1.349651,100000
2006-05-25,216.406,134693.1,1.35,134909.506,1.349095,100000
2006-05-26,216.406,137095.06,1.349,137311.466,1.373115,100000
2006-05-29,216.406,140727.87,1.373,140944.276,1.409443,100000
2006-05-30,216.406,142012.28,1.409,142228.686,1.422287,100000
2006-05-31,216.406,140641.35,1.422,140857.756,1.408578,100000
2006-06-01,216.406,144496.64,1.409,144713.046,1.44713,100000
2006-06-02,216.406,143182.36,1.447,143398.766,1.433988,100000
2006-06-05,216.406,144525.48,1.434,144741.886,1.447419,100000
2006-06-06,216.406,144111.42,1.447,144327.826,1.443278,100000
2006-06-07,136091.309,0.0,1.443,136091.309,1.360913,100000
2006-06-08,136091.309,0.0,1.361,136091.309,1.360913,100000
2006-06-09,136091.309,0.0,1.361,136091.309,1.360913,100000
2006-06-12,136091.309,0.0,1.361,136091.309,1.360913,100000
2006-06-13,136091.309,0.0,1.361,136091.309,1.360913,100000
2006-06-14,136091.309,0.0,1.361,136091.309,1.360913,100000
2006-06-15,136091.309,0.0,1.361,136091.309,1.360913,100000
2006-06-16,136091.309,0.0,1.361,136091.309,1.360913,100000
2006-06-19,1159.56,134823.89,1.361,135983.45,1.359835,100000
2006-06-20,1159.56,135160.22,1.36,136319.78,1.363198,100000
2006-06-21,1159.56,134686.53,1.363,135846.09,1.358461,100000
2006-06-22,1159.56,134486.55,1.358,135646.11,1.356461,100000
2006-06-23,1159.56,135284.45,1.356,136444.01,1.36444,100000
2006-06-26,1159.56,137704.41,1.364,138863.97,1.38864,100000
2006-06-27,1159.56,137753.9,1.389,138913.46,1.389135,100000
